Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
The House of the Spirits,"Allende, Isabel",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration,9330,The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,4.23,1400043182,9781400043187,eng,488,270,49,4/19/2005,Everyman's Library
The House of the Spirits,"Allende, Isabel",,,,,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration,9330,The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,4.23,1400043182,9781400043187,eng,488,270,49,4/19/2005,Everyman's Library
The House of the Spirits,"Allende, Isabel",,,,,Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration,9330,The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,4.23,1400043182,9781400043187,eng,488,270,49,4/19/2005,Everyman's Library
Zorro,"Allende, Isabel",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,24796,Zorro,Isabel Allende/Margaret Sayers Peden/محمدعلی مهمان‌نوازان,3.76,006078721X,9780060787219,eng,677,16324,1145,5/3/2005,HarperLargePrint
Resurrection,"Alten, Steve",,,,The Domain Trilogy,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,42641,Resurrection,Leo Tolstoy/Louise Maude/Aylmer Maude,4.13,0735102864,9780735102866,eng,562,11468,530,2/1/2000,Replica Books
And Still I Rise,"Angelou, Maya",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,13211,And Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,4.42,0375505962,9780375505966,eng,54,3720,240,8/7/2001,Random House
The Heart of a Woman,"Angelou, Maya",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5160,The Heart of a Woman,Maya Angelou,4.20,0375500723,9780375500725,eng,288,17966,437,5/17/1997,Random House
Oblivion,"Armentrout, Jennifer L.",,,,Lux,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,6749,Oblivion,David Foster Wallace,4.07,0316010766,9780316010764,eng,329,10633,701,8/30/2005,Back Bay Books
Shadows,"Armentrout, Jennifer L.",,,,Lux,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,6556,Shadows,John Saul,3.93,0553560271,9780553560275,eng,393,10824,185,5/1/1993,Bantam
The Handmaid's Tale,"Atwood, Margaret",,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Hernando County Schools,September 2023,Banned,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Lake County Schools,October 2023,Banned pending investigation,Unclear,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Orange County Public Schools,February 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Polk County Public Schools,April 2024,Banned pending investigation,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,School District of Manatee County,January 2024,Banned,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Seminole County Public Schools,April 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Ankeny Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Boone Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,CAM Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Central Springs School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Clarinda Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Council Bluffs Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Davenport Community Schools,February 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Decorah Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Denver Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,East Union Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Knoxville Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Linn-Mar Community School District,June 2024,Banned by restriction,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Mason City Community Schools,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Mediapolis Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Montezuma School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Muscatine Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Nevada Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Nodaway Valley Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Oskaloosa Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Ottumwa Community School District,January 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Ridge View Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Roland-Story Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Saydel Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Shenandoah Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Sigourney Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,South Hamilton Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,South Tama County Community School District,December 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Southeast Polk Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Spencer Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Urbandale Community School District,October 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Van Meter Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,West Marshall Community School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Maryland,Caroll County School District,August 2023,Banned pending investigation,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Spartanburg County School District One,February 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,North East Independent School District,June 2024,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Plano Independent School District,October 2023,Banned,Informal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration",41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
The Handmaid's Tale,"Atwood, Margaret",,,,,Wisconsin,Menomonee Falls Schools,October 2023,Banned,Formal Challenge,41567,The Handmaid's Tale,Margaret Atwood,4.11,0771008740,9780771008740,eng,368,1185,89,9/19/2006,McClelland & Stewart
Saving Faith,"Baldacci, David",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,15157,Saving Faith,David Baldacci,3.88,0446608890,9780446608893,eng,528,15509,671,9/1/2000,Vision
The Innocent,"Baldacci, David",,,,Will Robie,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,43926,The Innocent,Harlan Coben,3.96,045121577X,9780451215772,eng,503,21382,1229,4/25/2006,Dutton
A Long Way Gone: Memoirs of a Boy Soldier,"Beah, Ishmael",,,,,Texas,Conroe Independent School District,November 2023,Banned by restriction,Administration,43015,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16,0374105235,9780374105235,eng,229,147820,9547,2/13/2007,Sarah Crichton Books
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Florida,Bay District Schools,April 2024,Banned,Formal Challenge,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Florida,Santa Rosa County Schools,October 2023,Banned pending investigation,Formal Challenge,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Florida,Sarasota County Schools,December 2023,Banned,Administration,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Florida,School District of Manatee County,February 2024,Banned,Formal Challenge,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Illinois,Orion CUSD 223,May 2024,Banned,Administration,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Iowa,Spencer Community School District,June 2024,Banned,Administration,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Tennessee,Wilson County Schools,July 2023,Banned,Formal Challenge,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Texas,Klein Independent School District,August 2023,Banned,Administration,38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration",38990,Fun Home: A Family Tragicomic,Alison Bechdel,4.08,0618477942,9780618477944,eng,240,48966,3928,6/8/2006,Houghton Mifflin Company
Herzog,"Bellow, Saul",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,6551,Herzog,Saul Bellow/Philip Roth,3.78,0142437298,9780142437292,eng,371,16550,813,2/25/2003,Penguin Classics
Midnight in the Garden of Good and Evil,"Berendt, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,7360,Midnight in the Garden of Good and Evil,John Berendt,3.92,0679643419,9780679643418,eng,388,983,79,9/27/2005,Modern Library
Midnight in the Garden of Good and Evil,"Berendt, John",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration,7360,Midnight in the Garden of Good and Evil,John Berendt,3.92,0679643419,9780679643418,eng,388,983,79,9/27/2005,Modern Library
Echo,"Block, Francesca Lia",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,14566,Echo,Francesca Lia Block,3.87,0064407446,9780064407441,eng,215,4894,235,8/6/2001,HarperTeen
I Was a Teenage Fairy,"Block, Francesca Lia",,,,Ageless Books,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,44325,I Was a Teenage Fairy,Francesca Lia Block,3.82,0064408620,9780064408622,eng,192,6599,236,5/3/2000,HarperTeen
Psyche in a Dress,"Block, Francesca Lia",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,14560,Psyche in a Dress,Francesca Lia Block,3.84,0060763728,9780060763725,eng,116,2449,217,9/1/2006,Joanna Cotler Books
Forever...,"Blume, Judy",,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,37736,Forever...,Judy Blume,3.62,0689849737,9780689849732,eng,199,239,51,12/1/2002,Atheneum/Richard Jackson Books
Forever...,"Blume, Judy",,,,,Florida,Broward County Public Schools,January 2024,Banned by restriction,Administration,37736,Forever...,Judy Blume,3.62,0689849737,9780689849732,eng,199,239,51,12/1/2002,Atheneum/Richard Jackson Books
